region,state,energy_type,start_date,end_date,start_value,end_value,change,change_sign
Western,Chhatisgarh,hydro,2019-01-01,2023-12-01,120.0,120.0,0.0,No Change
Western,Chhatisgarh,res,2019-01-01,2023-12-01,535.35,1423.24,887.89,Increase
Western,Chhatisgarh,grand_total,2019-01-01,2023-12-01,23623.35,25231.24,1607.890000000003,Increase
Western,Dadra & Nagar Haveli,coal,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Dadra & Nagar Haveli,gas,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Dadra & Nagar Haveli,diesel,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Dadra & Nagar Haveli,thermal_total,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Dadra & Nagar Haveli,nuclear,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Dadra & Nagar Haveli,hydro,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Dadra & Nagar Haveli,res,2019-01-01,2021-09-01,5.46,5.46,0.0,No Change
Western,Dadra & Nagar Haveli,grand_total,2019-01-01,2021-09-01,5.46,5.46,0.0,No Change
Western,Dadra and Nagar Haveli and Dam,coal,2021-10-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Dadra and Nagar Haveli and Dam,gas,2021-10-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Dadra and Nagar Haveli and Dam,diesel,2021-10-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Dadra and Nagar Haveli and Dam,thermal_total,2021-10-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Dadra and Nagar Haveli and Dam,nuclear,2021-10-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Dadra and Nagar Haveli and Dam,hydro,2021-10-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Dadra and Nagar Haveli and Dam,res,2021-10-01,2023-12-01,46.18,46.47,0.28999999999999915,Increase
Western,Dadra and Nagar Haveli and Dam,grand_total,2021-10-01,2023-12-01,46.18,46.47,0.28999999999999915,Increase
Western,Daman & Diu,coal,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Daman & Diu,gas,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Daman & Diu,diesel,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Daman & Diu,thermal_total,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Daman & Diu,nuclear,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Daman & Diu,hydro,2019-01-01,2021-09-01,0.0,0.0,0.0,No Change
Western,Daman & Diu,res,2019-01-01,2021-09-01,13.38,40.72,27.339999999999996,Increase
Western,Daman & Diu,grand_total,2019-01-01,2021-09-01,13.38,40.72,27.339999999999996,Increase
Western,Goa,coal,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Goa,gas,2019-01-01,2023-12-01,48.0,48.0,0.0,No Change
Western,Goa,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Goa,thermal_total,2019-01-01,2023-12-01,48.0,48.0,0.0,No Change
Western,Goa,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Goa,hydro,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Goa,res,2019-01-01,2023-12-01,1.74,37.75,36.01,Increase
Western,Goa,grand_total,2019-01-01,2023-12-01,49.74,85.75,36.01,Increase
Western,Gujarat,coal,2019-01-01,2023-12-01,15492.0,14692.0,-800.0,Decrease
Western,Gujarat,gas,2019-01-01,2023-12-01,7551.41,7551.41,0.0,No Change
Western,Gujarat,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Gujarat,thermal_total,2019-01-01,2023-12-01,23043.41,23643.41,600.0,Increase
Western,Gujarat,nuclear,2019-01-01,2023-12-01,440.0,1140.0,700.0,Increase
Western,Gujarat,hydro,2019-01-01,2023-12-01,1990.0,1990.0,0.0,No Change
Western,Gujarat,res,2019-01-01,2023-12-01,7882.85,21977.01,14094.159999999998,Increase
Western,Gujarat,grand_total,2019-01-01,2023-12-01,33356.26,48750.42,15394.159999999996,Increase
Western,Madhya Pradesh,coal,2019-01-01,2023-12-01,18325.0,22000.0,3675.0,Increase
Western,Madhya Pradesh,gas,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Madhya Pradesh,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Madhya Pradesh,thermal_total,2019-01-01,2023-12-01,18325.0,22000.0,3675.0,Increase
Western,Madhya Pradesh,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Madhya Pradesh,hydro,2019-01-01,2023-12-01,2235.0,2235.0,0.0,No Change
Western,Madhya Pradesh,res,2019-01-01,2023-12-01,4310.45,6272.99,1962.54,Increase
Western,Madhya Pradesh,grand_total,2019-01-01,2023-12-01,24870.45,30507.99,5637.540000000001,Increase
Western,Maharashtra,coal,2019-01-01,2023-12-01,25226.0,24006.0,-1220.0,Decrease
Western,Maharashtra,gas,2019-01-01,2023-12-01,3207.08,3207.08,0.0,No Change
Western,Maharashtra,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Maharashtra,thermal_total,2019-01-01,2023-12-01,28433.08,27213.08,-1220.0,Decrease
Western,Maharashtra,nuclear,2019-01-01,2023-12-01,1400.0,1400.0,0.0,No Change
Western,Maharashtra,hydro,2019-01-01,2023-12-01,3047.0,3047.0,0.0,No Change
Western,Maharashtra,res,2019-01-01,2023-12-01,9283.78,13263.73,3979.949999999999,Increase
Western,Maharashtra,grand_total,2019-01-01,2023-12-01,42163.86,44923.81,2759.949999999997,Increase
